roster_randomid,url,action,created_at,interaction_seconds,remote_ip
104716,https://ucirvine.instructure.com/courses/2230/assignments/49367,show,2016-07-31T21:26:28Z,,217.39.8.223
104716,https://ucirvine.instructure.com/courses/2230,show,2016-07-29T13:51:38Z,,31.221.49.20
104716,https://ucirvine.instructure.com/courses/2230/quizzes/8316?module_item_id=62462,show,2016-07-29T13:51:30Z,,31.221.49.20
104716,https://ucirvine.instructure.com/courses/2230,show,2016-07-29T13:51:13Z,,31.221.49.20
104716,https://ucirvine.instructure.com/courses/2230/assignments/49395,show,2016-07-29T13:51:06Z,,31.221.49.20
104716,https://canvas.eee.uci.edu/courses/2230/assignments/49367?module_item_id=62451,show,2016-07-27T07:24:20Z,,76.246.68.59
104716,https://canvas.eee.uci.edu/courses/2230/assignments/49367?module_item_id=62451,show,2016-07-27T07:24:02Z,,76.246.68.59
104716,https://canvas.eee.uci.edu/courses/2230/assignments/49367?module_item_id=62451,show,2016-07-26T22:33:21Z,16.0,169.234.90.120
104716,https://canvas.eee.uci.edu/courses/2230,show,2016-07-26T22:33:15Z,,169.234.90.120
104716,https://ucirvine.instructure.com/courses/2230/assignments/49374?module_item_id=62441,show,2016-07-26T10:24:41Z,,70.187.175.130
104716,https://ucirvine.instructure.com/courses/2230,show,2016-07-26T10:24:37Z,,70.187.175.130
104716,https://ucirvine.instructure.com/courses/2230/assignments/49375?module_item_id=62442,show,2016-07-26T10:24:28Z,,70.187.175.130
104716,https://ucirvine.instructure.com/courses/2230,show,2016-07-26T10:24:23Z,,70.187.175.130
104716,https://ucirvine.instructure.com/courses/2230/assignments/49376,show,2016-07-26T10:23:17Z,,70.187.175.130
104716,https://canvas.eee.uci.edu/courses/2230/pages/week-4-daily-lectures?module_item_id=62440,show,2016-07-26T03:43:36Z,13.0,169.234.90.120
104716,https://canvas.eee.uci.edu/courses/2230/pages/week-4-daily-lectures?module_item_id=62440,show,2016-07-26T01:29:52Z,,169.234.90.120
104716,https://canvas.eee.uci.edu/courses/2230/pages/week-4-daily-lectures?module_item_id=62440,show,2016-07-26T00:05:34Z,,169.234.90.120
104716,https://canvas.eee.uci.edu/courses/2230,show,2016-07-26T00:05:30Z,,169.234.90.120
104716,https://canvas.eee.uci.edu/courses/2230/pages/week-3-daily-lectures?module_item_id=62431,show,2016-07-26T00:05:27Z,,169.234.90.120
104716,https://canvas.eee.uci.edu/courses/2230/pages/week-3-daily-lectures?module_item_id=62431,show,2016-07-25T22:17:54Z,,169.234.90.120
104716,https://ucirvine.instructure.com/courses/2230,show,2016-07-25T21:06:39Z,14.0,70.187.175.130
104716,https://ucirvine.instructure.com/courses/2230/assignments/49390,show,2016-07-25T21:06:26Z,,70.187.175.130
104716,https://canvas.eee.uci.edu/courses/2230/pages/week-3-daily-lectures?module_item_id=62431,show,2016-07-25T05:37:00Z,,70.187.175.130
104716,https://canvas.eee.uci.edu/courses/2230,show,2016-07-25T05:36:56Z,,70.187.175.130
104716,https://canvas.eee.uci.edu/courses/2230/pages/week-4-daily-lectures?module_item_id=62440,show,2016-07-25T05:36:52Z,,70.187.175.130
104716,https://canvas.eee.uci.edu/courses/2230,show,2016-07-25T05:36:42Z,,70.187.175.130
104716,https://canvas.eee.uci.edu/courses/2230/assignments/49367?module_item_id=62451,show,2016-07-24T03:54:30Z,15.0,70.187.175.130
104716,https://canvas.eee.uci.edu/courses/2230/assignments/49367/submissions,create,2016-07-24T03:54:30Z,,70.187.175.130
104716,https://canvas.eee.uci.edu/courses/2230/files/748152/download?wrap=1,show,2016-07-24T02:22:50Z,,70.187.175.130
104716,https://canvas.eee.uci.edu/courses/2230,show,2016-07-24T02:22:02Z,,70.187.175.130
104716,https://canvas.eee.uci.edu/courses/2230,show,2016-07-23T06:19:11Z,,70.187.175.130
104716,https://canvas.eee.uci.edu/courses/2230/assignments/49376?module_item_id=62450,show,2016-07-21T06:01:20Z,,70.187.175.130
104716,https://canvas.eee.uci.edu/courses/2230/assignments/49376/submissions,create,2016-07-21T06:01:20Z,,70.187.175.130
104716,https://canvas.eee.uci.edu/courses/2230/assignments/49376?module_item_id=62450,show,2016-07-21T06:01:01Z,,70.187.175.130
104716,https://canvas.eee.uci.edu/courses/2230,show,2016-07-21T06:00:57Z,,70.187.175.130
104716,https://canvas.eee.uci.edu/courses/2230/files/748138?module_item_id=62447,show,2016-07-21T06:00:50Z,,70.187.175.130
104716,https://canvas.eee.uci.edu/courses/2230,show,2016-07-21T06:00:43Z,,70.187.175.130
104716,https://canvas.eee.uci.edu/courses/2230/assignments/49373?module_item_id=62433,show,2016-07-21T01:06:29Z,19.0,76.246.68.59
104716,https://canvas.eee.uci.edu/courses/2230,show,2016-07-21T00:50:19Z,,76.246.68.59
104716,https://canvas.eee.uci.edu/courses/2230/files/748154/download?wrap=1,show,2016-07-21T00:40:22Z,,76.246.68.59
104716,https://canvas.eee.uci.edu/courses/2230/assignments/49376?module_item_id=62450,show,2016-07-21T00:40:15Z,37.0,76.246.68.59
104716,https://canvas.eee.uci.edu/courses/2230,show,2016-07-21T00:40:04Z,,76.246.68.59
104716,https://canvas.eee.uci.edu/courses/2230/files/748106/download?download_frd=1,show,2016-07-21T00:39:05Z,,76.246.68.59
104716,https://canvas.eee.uci.edu/courses/2230/files/748106?module_item_id=62446,show,2016-07-21T00:38:42Z,,76.246.68.59
104716,https://canvas.eee.uci.edu/courses/2230,show,2016-07-21T00:32:03Z,,76.246.68.59
104716,https://canvas.eee.uci.edu/courses/2230/discussion_topics,index,2016-07-21T00:31:59Z,,76.246.68.59
104716,https://canvas.eee.uci.edu/courses/2230/announcements,index,2016-07-21T00:31:56Z,,76.246.68.59
104716,https://canvas.eee.uci.edu/courses/2230/assignments/49397/submissions/4927?preview=1&rand=340354,show,2016-07-21T00:31:52Z,,76.246.68.59
104716,https://canvas.eee.uci.edu/courses/2230/assignments/49397/submissions/4927,show,2016-07-21T00:31:51Z,,76.246.68.59
104716,https://canvas.eee.uci.edu/courses/2230,show,2016-07-21T00:31:23Z,,76.246.68.59
104716,https://canvas.eee.uci.edu/courses/2230/pages/week-2-daily-lectures?module_item_id=62422,show,2016-07-21T00:31:12Z,,76.246.68.59
104716,https://canvas.eee.uci.edu/courses/2230/pages/week-5-daily-lectures?module_item_id=62449,show,2016-07-20T23:18:40Z,,76.246.68.59
104716,https://canvas.eee.uci.edu/courses/2230/pages/week-5-daily-lectures?module_item_id=62449,show,2016-07-20T23:11:14Z,,76.246.68.59
104716,https://canvas.eee.uci.edu/courses/2230,show,2016-07-20T23:10:52Z,,76.246.68.59
104716,https://canvas.eee.uci.edu/courses/2230/pages/week-2-daily-lectures?module_item_id=62422,show,2016-07-20T02:58:44Z,11.0,70.187.175.130
104716,https://canvas.eee.uci.edu/courses/2230/pages/week-2-daily-lectures?module_item_id=62422,show,2016-07-20T02:54:03Z,,70.187.175.130
104716,https://canvas.eee.uci.edu/courses/2230,show,2016-07-20T02:53:24Z,,70.187.175.130
104716,https://canvas.eee.uci.edu/courses/2230,show,2016-07-20T02:53:23Z,,70.187.175.130
104716,https://canvas.eee.uci.edu/courses/2230/pages/week-5-daily-lectures?module_item_id=62449,show,2016-07-20T00:17:24Z,,169.234.120.132
104716,https://canvas.eee.uci.edu/courses/2230,show,2016-07-20T00:17:18Z,,169.234.120.132
104716,https://canvas.eee.uci.edu/courses/2230/pages/week-5-daily-lectures?module_item_id=62449,show,2016-07-18T19:53:44Z,,70.187.175.130
104716,https://canvas.eee.uci.edu/courses/2230,show,2016-07-18T19:52:23Z,,70.187.175.130
104716,https://canvas.eee.uci.edu/courses/2230/assignments/49375?module_item_id=62442,show,2016-07-18T06:24:31Z,,107.77.211.210
104716,https://canvas.eee.uci.edu/courses/2230/assignments/49375/submissions,create,2016-07-18T06:24:30Z,,107.77.211.210
104716,https://canvas.eee.uci.edu/courses/2230/assignments/49375?module_item_id=62442,show,2016-07-18T06:20:48Z,,107.77.211.210
104716,https://canvas.eee.uci.edu/courses/2230/files/748111/download?wrap=1,show,2016-07-18T05:23:17Z,,107.77.211.210
104716,https://canvas.eee.uci.edu/courses/2230/assignments/49375?module_item_id=62442,show,2016-07-18T05:23:11Z,61.0,107.77.211.210
104716,https://canvas.eee.uci.edu/courses/2230/assignments/49374?module_item_id=62441,show,2016-07-18T05:23:02Z,,107.77.211.210
104716,https://canvas.eee.uci.edu/courses/2230/assignments/49375?module_item_id=62442,show,2016-07-18T05:22:54Z,,107.77.211.210
104716,https://canvas.eee.uci.edu/courses/2230,show,2016-07-18T05:22:36Z,,107.77.211.210
